from ,to
F008S063,F008
F008S075,F008
F009S000,F009
F009S002,F009
F009S005,F009
F009S008,F009
F009S017,F009
F009S018,F009
F009S049,F009
F009S055,F009
F009S067,F009
F009S068,F009
F009S072,F009
F013S016,F013
F013S018,F013
F013S020,F013
F013S021,F013
F013S032,F013
F014S000,F014
F014S015,F014
F014S020,F014
F016S007,F016
F016S011,F016
F016S013,F016
F022S003,F022
F022S022,F022
F026S005,F026
F027S003,F027
F030S006,F030
F030S008,F030
F030S010,F030
F039S003,F039
F047S001,F047
F130,A000
F302S002,F302
F303S000,F303
F015,A000
F005S057,F005
F011S029,F011
F000S000,F000
F000S008,F000
F000S025,F000
F000S055,F000
F000S064,F000
F000S069,F000
F000S078,F000
F000S084,F000
F011S030,F011
F000S091,F000
F000S094,F000
F011S037,F011
F000S101,F000
F000S103,F000
F000S107,F000
F011S040,F011
F011S049,F011
F006S078,F006
F000S118,F000
F000S119,F000
F012S052,F012
F017S031,F017
F000S129,F000
F000S138,F000
F000S143,F000
F000S144,F000
F000S145,F000
F000S153,F000
F017S032,F017
F000S157,F000
F000S170,F000
F000S172,F000
F000S179,F000
F000S209,F000
F000S225,F000
F000S238,F000
F000S249,F000
F000S250,F000
F000S261,F000
F000S267,F000
F000S270,F000
F000S271,F000
F000S273,F000
F000S287,F000
F000S291,F000
F000S296,F000
F017S034,F017
F000S298,F000
F000S336,F000
F000S394,F000
F000S406,F000
F018S023,F018
F002S007,F002
F002S023,F002
F002S046,F002
F002S056,F002
F018S025,F018
F002S074,F002
F002S092,F002
F018S030,F018
F019S017,F019
F019S023,F019
F002S108,F002
F002S114,F002
F002S121,F002
F002S127,F002
F002S131,F002
F002S132,F002
F002S138,F002
F002S146,F002
F002S148,F002
F002S153,F002
F002S158,F002
F002S165,F002
F002S178,F002
F002S183,F002
F002S184,F002
F002S190,F002
F002S192,F002
F002S197,F002
F002S231,F002
F003S026,F003
F003S036,F003
F003S039,F003
F003S049,F003
F003S051,F003
F003S054,F003
F003S062,F003
F003S071,F003
F003S078,F003
F003S085,F003
F003S094,F003
F003S095,F003
F003S104,F003
F003S105,F003
F003S114,F003
F003S117,F003
F003S127,F003
F003S142,F003
F003S151,F003
F003S158,F003
F003S160,F003
F003S170,F003
F003S197,F003
F003S230,F003
F004S005,F004
F004S022,F004
F004S027,F004
F004S048,F004
F004S060,F004
F004S061,F004
F004S065,F004
F004S072,F004
F004S080,F004
F004S115,F004
F004S145,F004
F004S147,F004
F004S154,F004
F004S155,F004
F004S159,F004
F004S162,F004
F004S163,F004
F004S173,F004
F008S015,F008
F008S074,F008
F008S077,F008
F009S001,F009
F009S003,F009
F009S013,F009
F009S026,F009
F009S031,F009
F009S037,F009
F009S044,F009
F009S047,F009
F013S008,F013
F019S024,F019
F013S009,F013
F013S022,F013
F013S033,F013
F019S030,F019
F013S036,F013
F014S002,F014
F014S037,F014
F020S025,F020
F021S012,F021
F015S002,F015
F021S014,F021
F015S004,F015
F015S017,F015
F015S036,F015
F015S037,F015
F016S030,F016
F021S017,F021
F021S021,F021
F016S037,F016
F016S039,F016
F022S000,F022
F022S007,F022
F021S022,F021
F022S010,F022
F023S020,F023
F026S017,F026
F027S013,F027
F033S009,F033
F056S000,F056
F039S001,F039
F059S000,F059
F049S001,F049
F301S000,F301
F059S002,F059
F083,A000
F119,A000
F302S000,F302
F302S003,F302
F045,A000
F301S001,F301
F000S035,F000
F000S079,F000
F000S086,F000
F000S092,F000
F000S120,F000
F000S137,F000
F000S142,F000
F000S158,F000
F000S165,F000
F000S166,F000
F000S169,F000
F000S180,F000
F000S184,F000
F000S192,F000
F000S215,F000
F000S223,F000
F000S230,F000
F000S239,F000
F000S248,F000
F000S251,F000
F000S258,F000
F000S266,F000
F000S284,F000
F000S285,F000
F000S315,F000
F000S317,F000
F000S322,F000
F000S323,F000
F000S352,F000
F000S354,F000
F000S357,F000
F000S360,F000
F000S377,F000
F000S388,F000
F005S000,F005
F005S063,F005
F005S068,F005
F005S076,F005
F005S005,F005
F005S006,F005
F005S008,F005
F005S009,F005
F005S010,F005
F005S096,F005
F005S097,F005
F005S014,F005
F006S015,F006
F005S016,F005
F005S017,F005
F005S018,F005
F005S019,F005
F005S020,F005
F005S021,F005
F005S022,F005
F005S023,F005
F005S024,F005
F005S025,F005
F005S026,F005
F005S027,F005
F005S028,F005
F005S029,F005
F005S030,F005
F005S031,F005
F006S024,F006
F005S033,F005
F006S030,F006
F005S037,F005
F005S038,F005
F005S039,F005
F006S039,F006
F005S041,F005
F005S042,F005
F005S043,F005
F005S045,F005
F006S075,F006
F005S049,F005
F006S103,F006
F011S024,F011
F005S051,F005
F005S052,F005
F000S395,F000
F000S397,F000
F005S055,F005
F005S056,F005
F066S004,F066
F005S058,F005
F000S399,F000
F002S066,F002
F005S061,F005
F072S010,F072
F002S126,F002
F005S064,F005
